Tweet_no,Tweet
1,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
2,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
3,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
4,my whole body feels itchy and like its on fire 
5,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
6,@Kwesidei not the whole crew 
7,Need a hug 
8,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
9,@Tatiana_K nope they didn't have it 
10,@twittera que me muera ? 
11,spring break in plain city... it's snowing 
12,I just re-pierced my ears 
13,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
14,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
15,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
16,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
17,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
18,about to file taxes 
19,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
20,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
21,@alydesigns i was out most of the day so didn't get much done 
22,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
23,@angry_barista I baked you a cake but I ated it 
24,this week is not going as i had hoped 
25,blagh class at 8 tomorrow 
26,I hate when I have to call and wake people up 
27,Just going to cry myself to sleep after watching Marley and Me.  
28,im sad now  Miss.Lilly
29,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
30,Meh... Almost Lover is the exception... this track gets me depressed every time. 
31,some1 hacked my account on aim  now i have to make a new one
32,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
33,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
34,@julieebaby awe i love you too!!!! 1 am here  i miss you
35,@HumpNinja I cry my asian eyes to sleep at night 
36,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
37,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
38,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
39,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
40,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
41,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
42,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
43,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
44,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
45,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
46,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
47,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
48,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
49,is strangely sad about LiLo and SamRo breaking up. 
50,@tea oh! i'm so sorry  i didn't think about that before retweeting.
51,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
52,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
53,our duck and chicken are taking wayyy too long to hatch 
54,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
55,I need a hug 
56,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
57,@oanhLove I hate when that happens... 
58,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
59,Ugh....92 degrees tomorrow 
60,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
61,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
62,just leaving the parking lot of work! 
63,The Life is cool. But not for Me. 
64,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
65,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
66,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
67,Damm back to school tomorrow 
68,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
69,@katortiz  Not forever... See you soon!
70,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
71,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
72,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
73,i really hate how people diss my bands!  Trace is clearly NOT ugly!
74,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
75,Why won't you show my location?!   http://twitpic.com/2y2es
76,No picnic  my phone smells like citrus.
77,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
78,No new csi tonight.  FML
79,i think my arms are sore from tennis 
80,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
81,sleep soon... i just hate saying bye and see you tomorrow for the night. 
82,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
83,missin' the boo 
84,@markhardy1974 Me too  #itm
85,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
86,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
87,@msdrama hey missed ya at the meeting  sup mama
88,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
89,why is it always the fat ones?! 
90,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
91,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
92,wednesday my b-day! don't know what 2 do!! 
93,Poor cameron (the hills) 
94,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
95,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
96,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
97,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
98,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
99,"@stark YOU don't follow me, either  and i work for you!"
100,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
101, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
102,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
103,Behind on my classes for work 
104,watching &quot;House&quot; 
105,@kpreyes Remember my bum leg? Strikes back this time its serious 
106,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
107,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
108,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
109,@Henkuyinepu it's overrated 
110,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
111,laying in bed with no voice.. 
112,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
113,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
114,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
115,@salancaster  hope your ok.
116,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
117,@HibaNick yeah aw but i know i wudnt stand a chance 
118,ugh. cant sleep. its 1:30am. 
119,Hanging in Crooners. Wanna sing. Can't. Sucks. 
120,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
121,Is pissed off that there's no ASBA's for a radio station. 
122,wednesday my b-day n don't know what 2 do!  
123,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
124,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
125,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
126,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
127,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
128,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
129,I'm so cold 
130,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
131,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
132,Hoping the tummy rumbles go away soon 
133,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
134,almost bedtime 
135,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
136,Agh...snow!!! 
137,i miss kenny powers 
138,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
139,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
140,@JonathanRKnight I guess that's a no then. 
141,sadly is going to bed. 
142,@ozesteph1992 Shame to hear this Stephan 
143,@mrsaintnick hey! i'm leavin in the morning... 
144,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
145,laid around too much today... now my head hurts 
146,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
147,my nokia 1110 died..  
148,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
149,Going to sleep. Hoping tomorrow is a better day. 
150,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
151,@onemoreproject that is lame 
152,I don't understand... I really don't 
153,HEROES just isn't doing it for me this season... 
154,Living not downtown sure isn't much fun.  
155,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
156,Man Work is Hard 
157,"getting sick  time for some hot tea, studying, and then sleeeep"
158,Getting eyebrows waxed. More pain 
159,No phantasy star yesterday  going to work...
160,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
161,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
162,is alone downstairs...working 
163,I feel bad for doing it 
164,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
165,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
166,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
167,Thanks for bursting my bubble 
168,Going to school soon... can't find anything to wear!! gosh it's so hard 
169,@marieclr I was serious  LOL
170,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
171,Crazy wind today = no birding  http://ff.im/1XTTi
172,currently at work.. 
173,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
174,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
175,i don't see the big deal with this website 
176,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
177,@ColinDeMar Far too out of the way for rail.  any other tips?
178,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
179,"Today I realized I am too good at hiding things, even I can't find it "
180,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
181,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
182,Check out my mug  http://www.erika-obscura.blogspot.com
183,Borders closed at 10 
184,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
185,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
186,is watching the hill . . .and its making me sad 
187,So many channels.... yet so so boring... lazy day again  may have to find a hobby
188,@supersport I miss my buddy  ill be in NY on the 25th
189,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
190,Opps.. As I said.. I still got one day remain and now problem come 
191,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
192,@HillyDoP  oH NO
193,spencer is not a good guy. 
194,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
195,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she???¨?«s not well "
196,didn't get shit done today ~ i'm so screwed 
197,wanttss to go out 
198,Is not going to sleep tonite. 
199,too worried and tired to post tonight 
200,couldn't get shit done today ~ i'm so screwed 
201,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
202,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
203,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
204,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
205,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
206,i hate to see the spartans so sad 
207,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
208,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
209,@mandayyy 
210,@twista202 I think I want to read some books but the library doesn't have them 
211,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
212,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
213,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
214,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
215,sad that the 'feet' of my macbook just fell off 
216,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
217,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
218,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
219,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
220,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
221,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
222,@breadandbadger Congrats!!  i totally forgot to submit photos 
223,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
224,@imaginarypeach now your leaving me  .... -gets sad-
225,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
226,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
227,Tuesday???¨?«ll start with reflection ???¨?«n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
228,What tragedy and disaster in the news this week 
229,yes yes still trying to find a picture that will upload correclty.. 
230,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
231,I still can't find my keys. 
232,@charlietm I know right. I dunno what is going on with twitter. 
233,might be getting a sore throat again 
234,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
235,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
236,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
237,is in the bathroom... wake up lakin. 
238,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
239,"im lonely  keep me company! 22 female, california"
240,bad day at the betfair office 
241,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
242,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
243,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
244,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
245,@miss_om Aww  I know I felt like that yesterday at work 
246,@SarahReedSC treaty isn't defined 
247,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
248,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
249,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
250,@mandayyy   
251,New video card is DOA. 
252,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
253,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
254,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
255,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
256,has lost his ring. It's no-where to be seen 
257,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
258,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
259,Is fucked to go back to IC 
260,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
261,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
262,@kissability Me too I is poor 
263,help me forget 8th april &amp; 13th july! 
264,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
265,i have to take my sidekick back. 
266,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
267,gr8t my face is very itchy 
268,poor socks  luvvvvv the golden retriever!! I want one sighhhh
269,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
